종목명,기호,종가,변동 %,시가 총액,거래량,섹터
LX하우시스우,108675,20.20K,-1.94%,360.41B,4.30K,소비순환재
LX하우시스,108670,38.20K,0.79%,360.41B,3.88K,소비순환재
화신,010690,10.42K,0.48%,360.34B,148.61K,소비순환재
SNT홀딩스,036530,22.60K,0.00%,326.79B,6.82K,소비순환재
대원강업,000430,5.22K,1.56%,318.68B,117.55K,소비순환재
HL Holdings,060980,32.70K,0.46%,312.76B,8.62K,소비순환재
LS네트웍스,000680,4.34K,3.21%,311.65B,382.46K,소비순환재
BYC우,001465,16.44K,-3.86%,300.74B,7.42K,소비순환재
BYC,001460,40.75K,-3.89%,300.74B,9.06K,소비순환재
이월드,084680,1.99K,2.26%,274.84B,402.26K,소비순환재
한화갤러리아,452260,1.35K,-1.32%,273.72B,1.40M,소비순환재
콘텐트리중앙,036420,14.33K,2.80%,266.32B,77.96K,소비순환재
신성통상,005390,1.80K,-0.17%,258.96B,116.14K,소비순환재
YG PLUS,037270,4.13K,2.35%,255.94B,140.82K,소비순환재
스카이라이프,053210,5.35K,0.00%,253.00B,35.19K,소비순환재
LG헬로비전,037560,3.27K,0.62%,251.70B,147.90K,소비순환재
광주신세계,037710,30.25K,0.17%,240.31B,1.28K,소비순환재
지누스,013890,12.37K,4.04%,239.87B,55.04K,소비순환재
웅진씽크빅,095720,2.10K,1.20%,234.38B,41.88K,소비순환재
제이에스코퍼레이션,194370,18.46K,1.54%,232.98B,19.67K,소비순환재
롯데하이마트,071840,9.13K,0.88%,213.65B,11.57K,소비순환재
코오롱우,002025,12.94K,0.08%,212.15B,820.00,소비순환재
코오롱,002020,15.92K,1.40%,212.15B,13.56K,소비순환재
이엔플러스,074610,3.14K,4.67%,210.42B,1.97M,소비순환재
코오롱모빌리티그룹,450140,3.21K,3.05%,204.01B,175.12K,소비순환재
백산,035150,13.53K,2.73%,202.54B,128.70K,소비순환재
디아이씨,092200,5.37K,4.27%,199.54B,334.02K,소비순환재
서연,007860,9.08K,0.55%,196.02B,116.67K,소비순환재
경방,000050,7.91K,2.73%,191.85B,2.09K,소비순환재
화승인더,006060,3.90K,1.83%,189.96B,353.98K,소비순환재
한세예스24홀딩스,016450,4.66K,0.22%,182.46B,9.24K,소비순환재
덕양산업,024900,5.56K,0.00%,180.30B,2.00M,소비순환재
조광피혁,004700,49.95K,0.10%,179.74B,2.06K,소비순환재
일신방직,003200,8.51K,1.31%,178.93B,16.41K,소비순환재
모토닉,009680,8.13K,0.00%,175.83B,11.22K,소비순환재
에스엠벡셀,010580,1.54K,-0.90%,173.10B,31.18K,소비순환재
동아타이어,282690,11.88K,-0.59%,164.09B,10.69K,소비순환재
세종공업,033530,5.82K,0.52%,156.63B,57.68K,소비순환재
유니켐,011330,1.62K,-0.61%,156.20B,270.69K,소비순환재
한국프랜지,010100,4.79K,2.68%,142.20B,135.25K,소비순환재
삼양통상,002170,49.50K,-0.30%,138.23B,4.54K,소비순환재
덕성,004830,8.78K,1.27%,137.80B,3.56M,소비순환재
덕성우,004835,13.50K,2.51%,137.80B,950.00K,소비순환재
우신시스템,017370,9.00K,4.29%,134.18B,563.87K,소비순환재
용평리조트,070960,2.77K,-0.54%,134.05B,88.45K,소비순환재
신일전자,002700,1.88K,0.70%,132.65B,366.62K,소비순환재
금호에이치티,214330,609.00,1.50%,122.25B,247.82K,소비순환재
휴비스,079980,3.75K,1.35%,121.77B,70.19K,소비순환재
티와이홀딩스,363280,3.61K,5.87%,120.49B,116.71K,소비순환재
아센디오,012170,1.16K,-0.43%,120.14B,4.74M,소비순환재
벽산,007210,2.15K,2.38%,117.83B,97.51K,소비순환재
대한화섬,003830,104.00K,0.00%,116.83B,304.00,소비순환재
인지컨트롤스,023800,7.65K,1.19%,114.68B,13.45K,소비순환재
다이나믹디자인,145210,6.22K,-4.31%,112.32B,220.34K,소비순환재
HDC현대EP,089470,4.13K,-0.60%,111.77B,32.59K,소비순환재
동일고무벨트,163560,8.33K,4.26%,111.06B,359.07K,소비순환재
DRB동일,004840,5.85K,3.36%,109.08B,46.48K,소비순환재
두올,016740,3.58K,4.07%,104.75B,122.56K,소비순환재
삼익악기,002450,1.28K,0.31%,103.48B,34.53K,소비순환재
HS Ad,035000,6.19K,0.32%,100.00B,9.56K,소비순환재
신원,009270,1.28K,1.58%,95.06B,43.76K,소비순환재
성안,011300,1.33K,4.48%,89.81B,520.49K,소비순환재
SG 충방,001380,2.00K,0.50%,89.70B,44.66K,소비순환재
세이브존I&C,067830,2.35K,0.86%,87.80B,195.32K,소비순환재
웅진,016880,1.12K,0.00%,86.73B,117.79K,소비순환재
신영와코루,005800,9.44K,0.53%,84.51B,928.00,소비순환재
인팩,023810,8.46K,0.12%,84.50B,11.30K,소비순환재
SG세계물산,004060,407.00,-2.16%,82.69B,642.73K,소비순환재
지엠비코리아,013870,4.26K,0.24%,81.15B,13.09K,소비순환재
대현,016090,1.89K,1.56%,80.51B,54.27K,소비순환재
태평양물산,007980,1.66K,1.10%,79.94B,275.54K,소비순환재
화승코퍼레이션,013520,1.78K,1.83%,77.44B,51.44K,소비순환재
세원정공,021820,7.77K,0.52%,77.30B,2.77K,소비순환재
씨티알모빌리티,308170,9.07K,1.80%,76.72B,7.25K,소비순환재
동원금속,018500,1.63K,1.06%,75.26B,129.12K,소비순환재
방림,003610,2.07K,0.73%,74.79B,17.44K,소비순환재
상신브레이크,041650,3.88K,1.70%,73.86B,43.32K,소비순환재
새론오토모티브,075180,3.85K,2.39%,72.19B,2.73K,소비순환재
화승알앤에이,378850,3.88K,3.19%,71.50B,45.13K,소비순환재
쌍방울,102280,269.00,0.00%,70.63B,0.00,소비순환재
대원화성,024890,1.73K,1.17%,69.66B,14.95K,소비순환재
유성기업,002920,2.69K,0.19%,68.86B,14.24K,소비순환재
삼성공조,006660,9.08K,3.65%,68.86B,52.07K,소비순환재
대우부품,009320,1.40K,1.31%,67.89B,60.23K,소비순환재
DSR,155660,4.13K,0.36%,65.84B,20.57K,소비순환재
동국실업,001620,587.00,-0.51%,65.66B,157.06K,소비순환재
호전실업,111110,7.43K,5.54%,65.14B,97.54K,소비순환재
티에이치엔,019180,3.58K,0.99%,63.81B,52.32K,소비순환재
대림B&Co,005750,3.91K,2.89%,63.35B,24.05K,소비순환재
평화산업,090080,1.14K,1.16%,61.60B,54.27K,소비순환재
다스코,058730,3.44K,2.38%,61.38B,40.05K,소비순환재
갤럭시아SM,011420,2.22K,1.60%,60.20B,133.73K,소비순환재
핸즈코퍼레이션,143210,2.75K,0.73%,58.57B,15.23K,소비순환재
대구백화점,006370,7.40K,5.26%,58.50B,105.75K,소비순환재
비상교육,100220,4.92K,3.58%,58.26B,33.26K,소비순환재
IHQ,003560,239.00,0.00%,58.20B,0.00,소비순환재
한세엠케이,069640,2.12K,0.24%,57.89B,19.11K,소비순환재
대유에이텍,002880,1.19K,0.76%,55.00B,47.72K,소비순환재
동양피스톤,092780,4.21K,-1.41%,53.83B,91.84K,소비순환재
에스제이엠,123700,3.52K,3.53%,53.06B,52.34K,소비순환재
계양전기우,012205,3.97K,0.13%,52.71B,1.89K,소비순환재
계양전기,012200,1.85K,4.22%,52.71B,290.53K,소비순환재
인디에프,014990,684.00,0.74%,51.00B,79.38K,소비순환재
웰바이오텍,010600,545.00,0.00%,49.55B,0.00,소비순환재
SJM홀딩스,025530,3.73K,3.04%,48.99B,68.99K,소비순환재
대림통상,006570,2.99K,-0.17%,45.12B,1.02K,소비순환재
영화금속,012280,874.00,1.39%,44.53B,79.50K,소비순환재
세기상사,002420,8.00K,0.00%,44.47B,52.83K,소비순환재
평화홀딩스,010770,3.06K,-0.65%,44.25B,6.33K,소비순환재
MH에탄올,023150,6.14K,-0.32%,40.09B,5.96K,소비순환재
국동,005320,613.00,0.82%,39.91B,52.87K,소비순환재
체시스,033250,1.26K,4.03%,38.88B,184.84K,소비순환재
부산주공,005030,486.00,0.00%,38.29B,0.00,소비순환재
티비에이치글로벌,084870,1.81K,3.07%,36.69B,40.07K,소비순환재
형지엘리트,093240,1.20K,1.44%,36.40B,31.06K,소비순환재
윌비스,008600,501.00,2.24%,32.24B,51.52K,소비순환재
KR모터스,000040,1.10K,1.94%,31.52B,295.07K,소비순환재
비비안,002070,1.03K,0.10%,30.81B,51.96K,소비순환재
대유플러스,000300,241.00,0.00%,30.48B,0.00,소비순환재
태원물산,001420,4.10K,0.24%,29.94B,69.20K,소비순환재
진도,088790,2.35K,0.64%,29.07B,27.43K,소비순환재
에넥스,011090,481.00,0.00%,28.52B,93.94K,소비순환재
대한방직,001070,6.70K,0.60%,24.06B,7.54K,소비순환재
전방,000950,20.70K,-0.48%,23.70B,853.00,소비순환재
일정실업,008500,15.73K,-2.78%,19.12B,25.00K,소비순환재
LG화학,051910,378.50K,0.80%,28.36T,260.09K,소재
LG 화학,051915,247.50K,2.48%,28.36T,19.53K,소재
POSCO홀딩스,005490,390.00K,5.12%,28.15T,698.02K,소재
포스코퓨처엠,003670,258.50K,3.82%,19.28T,358.32K,소재
고려아연,010130,472.00K,-1.15%,9.98T,53.46K,소재
금양,001570,97.10K,5.89%,5.31T,415.61K,소재
엘앤에프,066970,148.40K,5.55%,4.71T,240.67K,소재
코스모신소재,005070,146.80K,3.09%,4.63T,101.67K,소재
롯데케미칼,011170,100.20K,0.30%,4.21T,118.91K,소재
현대제철,004020,32.05K,4.57%,4.03T,649.26K,소재
SKC,011790,113.70K,1.25%,3.82T,599.10K,소재
쌍용C&E,003410,7.00K,0.00%,3.47T,78.67K,소재
한솔케미칼,014680,191.00K,1.60%,2.05T,37.32K,소재
OCI홀딩스,010060,92.90K,0.98%,1.80T,59.29K,소재
KCC,002380,235.50K,2.61%,1.69T,23.78K,소재
이수스페셜티케미컬,457190,317.00K,7.46%,1.65T,106.64K,소재
풍산,103140,60.40K,0.33%,1.64T,371.23K,소재
TCC스틸,002710,54.70K,7.47%,1.33T,283.91K,소재
코스모화학,005420,31.15K,6.86%,1.12T,198.66K,소재
동원시스템즈,014820,40.80K,7.23%,1.11T,106.92K,소재
동원시스템즈우,014825,24.20K,3.42%,1.11T,326.00,소재
삼아알미늄,006110,79.60K,8.59%,1.08T,215.16K,소재
롯데정밀화학,004000,41.70K,0.00%,1.06T,72.79K,소재
DL,000210,49.60K,2.27%,1.05T,55.69K,소재
DL우,000215,24.70K,6.01%,1.05T,5.17K,소재
SK케미칼,285130,57.00K,0.35%,1.03T,13.26K,소재
SK케미칼우,28513K,26.10K,0.19%,1.03T,2.84K,소재
세아제강지주,003030,216.50K,-1.59%,888.90B,7.41K,소재
미원상사,002840,187.00K,0.38%,879.19B,1.93K,소재
한일시멘트,300720,12.51K,0.89%,858.84B,47.80K,소재
율촌화학,008730,34.35K,1.93%,835.76B,43.99K,소재
대한 유화,006650,134.20K,0.83%,822.04B,11.47K,소재
세아베스틸지주,001430,20.45K,0.49%,729.79B,149.63K,소재
TKG휴켐스,069260,18.95K,-0.26%,729.05B,46.61K,소재
후성,093370,7.85K,3.02%,718.96B,237.66K,소재
미원에스씨,268280,140.20K,-0.71%,692.32B,1.20K,소재
KG스틸,016380,6.94K,4.20%,666.37B,1.26M,소재
OCI,456040,82.60K,2.74%,597.91B,14.96K,소재
애경케미칼,161000,12.11K,5.30%,555.08B,174.88K,소재
유니드,014830,83.00K,-0.12%,551.69B,25.42K,소재
Dongkuk Steel Mill,460860,10.93K,1.39%,534.77B,523.20K,소재
PI첨단소재,178920,18.81K,5.03%,525.95B,108.09K,소재
태광산업,003240,623.00K,0.32%,522.65B,436.00,소재
고려제강,002240,20.55K,1.99%,503.51B,29.69K,소재
한국카본,017960,10.84K,5.96%,503.50B,622.37K,소재
한국철강,104700,11.78K,1.29%,493.69B,294.25K,소재
HDC,012630,8.30K,2.34%,420.23B,127.28K,소재
세아홀딩스,058650,107.10K,1.13%,412.61B,135.00,소재
아세아,002030,238.50K,-0.83%,411.28B,1.87K,소재
풍산홀딩스,005810,29.35K,0.00%,405.05B,18.68K,소재
아세아제지,002310,44.95K,0.00%,378.78B,0.00,소재
한일홀딩스,003300,12.15K,0.00%,374.60B,16.25K,소재
세아제강,306200,133.40K,1.06%,374.39B,6.83K,소재
아세아시멘트,183190,9.85K,0.51%,367.11B,53.18K,소재
KG케미칼,001390,5.42K,2.85%,360.83B,157.50K,소재
락앤락,115390,8.68K,6.11%,354.31B,3.44M,소재
백광산업,001340,7.79K,0.00%,343.92B,0.00,소재
남해화학,025860,7.03K,1.44%,332.28B,38.74K,소재
송원산업,004430,13.79K,3.92%,318.48B,70.72K,소재
알루코,001780,3.36K,2.60%,316.63B,6.70M,소재
휴스틸,005010,4.40K,2.33%,305.66B,836.14K,소재
현대비앤지스틸,004560,20.50K,2.50%,303.77B,317.87K,소재
조일알미늄,018470,2.51K,6.58%,298.22B,38.55M,소재
국도화학,007690,35.60K,2.15%,290.67B,8.91K,소재
키스코홀딩스,001940,22.00K,2.33%,286.75B,2.75K,소재
현대시멘트,006390,14.77K,0.61%,283.73B,1.36K,소재
삼양패키징,272550,16.80K,0.00%,265.25B,18.98K,소재
코오롱플라스틱,138490,7.09K,1.87%,264.48B,26.51K,소재
한농화성,011500,17.70K,4.80%,258.32B,272.67K,소재
대한제강,084010,13.84K,1.32%,255.15B,84.19K,소재
이수화학,005950,11.74K,2.71%,252.36B,81.86K,소재
동국홀딩스,001230,8.15K,1.24%,250.37B,169.61K,소재
남선알미우,008355,20.75K,3.49%,246.91B,10.69K,소재
남선알미늄,008350,1.91K,2.47%,246.91B,11.63M,소재
포스코스틸리온,058430,45.30K,10.76%,245.02B,822.18K,소재
심팩,009160,4.48K,1.47%,239.60B,127.44K,소재
한솔제지,213500,10.04K,1.11%,236.10B,37.44K,소재
CR홀딩스,000480,5.72K,0.18%,235.60B,22.05K,소재
서흥캅셀,008490,21.40K,1.90%,233.50B,4.17K,소재
한국석유,004090,17.23K,-9.46%,232.05B,2.36M,소재
삼영무역,002810,12.80K,-0.70%,227.23B,11.11K,소재
KPX홀딩스,092230,55.50K,0.00%,218.18B,662.00,소재
효성화학,298000,58.00K,1.05%,216.94B,6.85K,소재
동성코퍼레이션,102260,4.50K,2.28%,213.92B,154.00K,소재
성신양회우,004985,12.58K,1.37%,210.73B,2.19K,소재
성신양회,004980,8.44K,0.96%,210.73B,45.57K,소재
KPX케미칼,025000,44.50K,0.45%,210.66B,4.64K,소재
세하,027970,1.03K,0.29%,202.16B,22.76K,소재
이구산업,025820,6.02K,2.38%,196.63B,3.12M,소재
NPC우,004255,2.76K,0.91%,192.55B,7.94K,소재
NPC,004250,5.10K,2.72%,192.55B,83.69K,소재
GS 글로벌,001250,2.44K,4.51%,192.21B,416.63K,소재
AK 홀딩스,006840,14.83K,0.95%,191.64B,4.76K,소재
Chosun Refractories,462520,16.20K,0.75%,190.53B,11.79K,소재
무림P&P,009580,3.02K,0.17%,188.34B,61.05K,소재
태림포장,011280,2.83K,3.85%,187.59B,91.22K,소재
노루페인트우,090355,13.40K,2.92%,187.43B,1.54K,소재
노루페인트,090350,9.24K,1.87%,187.43B,44.43K,소재
신대양제지,016590,5.68K,2.16%,180.92B,36.28K,소재
미원에스씨,107590,77.60K,-0.64%,180.84B,109.00,소재
Dongkuk Coated Metal,460850,6.13K,2.51%,178.79B,80.74K,소재
일진다이아,081000,12.75K,1.51%,178.33B,14.77K,소재
삼화페인트,000390,7.66K,2.41%,176.46B,142.32K,소재
동양,001520,914.00,0.77%,175.07B,128.47K,소재
동양우,001525,5.58K,0.36%,175.07B,101.00,소재
동양2우B,001527,11.25K,-0.09%,175.07B,999.00,소재
경농,002100,9.87K,1.13%,174.36B,13.81K,소재
강남제비스코,000860,26.55K,2.31%,168.68B,9.62K,소재
태경산업,015890,5.87K,2.26%,167.77B,22.15K,소재
그린케미칼,083420,7.26K,2.69%,164.92B,75.30K,소재
아주스틸,139990,6.28K,2.78%,161.62B,41.93K,소재
페이퍼코리아,001020,863.00,0.82%,152.30B,9.41K,소재
태경케미컬,006890,13.29K,1.37%,148.59B,21.23K,소재
금강공업,014280,5.41K,2.27%,147.25B,45.48K,소재
금강공업우,014285,8.74K,1.04%,147.25B,649.00,소재
태경비케이,014580,5.27K,1.74%,142.88B,106.85K,소재
미원화학,134380,71.00K,0.71%,142.36B,847.00,소재
경인양행,012610,3.38K,0.30%,139.91B,40.76K,소재
대영포장,014160,1.32K,3.44%,138.75B,1.55M,소재
한국주철관,000970,6.43K,0.63%,137.46B,12.63K,소재
만호제강,001080,47.15K,0.00%,136.40B,0.00,소재
삼영,003720,3.96K,2.33%,128.34B,89.35K,소재
NI스틸,008260,4.48K,1.82%,125.84B,469.74K,소재
성창기업지주,000180,1.91K,0.26%,121.23B,33.48K,소재
노루홀딩스,000320,11.18K,0.63%,121.09B,11.53K,소재
노루홀딩스우,000325,31.15K,4.88%,121.09B,623.00,소재
한솔홀딩스,004150,2.75K,1.10%,114.26B,48.98K,소재
동남합성,023450,31.15K,-0.16%,113.90B,764.00,소재
황금에스티,032560,6.75K,1.20%,113.32B,43.88K,소재
대창,012800,1.53K,3.38%,113.03B,1.84M,소재
세아특수강,019440,13.53K,0.52%,112.32B,7.54K,소재
삼원강재,023000,2.76K,1.47%,108.80B,13.58K,소재
한국특강,007280,1.74K,0.75%,105.21B,14.74K,소재
수출포장,002200,2.65K,1.15%,100.06B,76.93K,소재
디씨엠,024090,11.08K,-0.54%,99.07B,1.99K,소재
한국내화,010040,2.81K,1.63%,97.81B,8.69K,소재
테이팩스,055490,21.40K,4.39%,97.68B,12.90K,소재
조선선재,120030,97.40K,5.07%,92.70B,9.92K,소재
동일산업,004890,42.00K,-0.47%,91.41B,812.00,소재
진양산업,003780,6.58K,-0.15%,85.67B,38.37K,소재
대양금속,009190,2.08K,-4.59%,85.61B,1.19M,소재
무림페이퍼,009200,2.08K,0.97%,85.51B,54.03K,소재
유니온,000910,5.59K,6.27%,82.12B,1.36M,소재
영풍제지,006740,1.92K,3.51%,81.80B,436.40K,소재
깨끗한나라,004540,2.22K,1.60%,81.37B,32.88K,소재
깨끗한나라우,004545,13.44K,1.43%,81.37B,295.00,소재
동양철관,008970,711.00,4.10%,81.19B,640.56K,소재
일신석재,007110,1.04K,2.26%,78.82B,87.91K,소재
동방아그로,007590,6.26K,0.00%,77.66B,3.29K,소재
대호에이엘,069460,1.15K,1.76%,76.51B,869.13K,소재
SH에너지화학,002360,644.00,-2.28%,72.02B,1.39M,소재
영보화학,014440,3.44K,0.73%,66.50B,28.77K,소재
조비,001550,12.74K,1.35%,65.26B,7.87K,소재
진양폴리,010640,6.34K,0.00%,63.40B,43.20K,소재
서원,021050,1.35K,2.35%,62.52B,690.60K,소재
조광페인트,004910,6.16K,2.67%,60.97B,23.69K,소재
한솔홈데코,025750,754.00,0.27%,60.58B,77.60K,소재
부국철강,026940,3.06K,2.00%,60.00B,1.87M,소재
DSR제강,069730,4.11K,0.00%,59.18B,77.36K,소재
하이스틸,071090,3.43K,18.07%,58.63B,16.50M,소재
삼화왕관,004450,31.75K,-0.31%,57.77B,241.00,소재
한일철강,002220,2.41K,2.34%,57.35B,208.93K,소재
성보화학,003080,2.90K,-0.17%,56.81B,21.45K,소재
삼일씨엔에스,004440,4.44K,0.79%,56.08B,17.93K,소재
이건산업,008250,5.37K,-0.56%,56.03B,19.71K,소재
부산산업,011390,53.30K,1.14%,55.65B,747.00,소재
진양화학,051630,3.56K,1.71%,55.30B,40.02K,소재
문배철강,008420,2.85K,3.07%,54.28B,2.80M,소재
유니드비티플러스,446070,5.00K,1.32%,52.37B,54.30K,소재
금비,008870,61.20K,0.16%,50.01B,9.42K,소재
한창제지,009460,823.00,0.12%,49.05B,42.26K,소재
티웨이홀딩스,004870,445.00,1.37%,49.00B,131.48K,소재
세우글로벌,013000,1.47K,5.07%,40.19B,75.41K,소재
이화산업,000760,14.38K,0.63%,40.01B,167.00,소재
원림,005820,19.13K,0.00%,39.35B,2.12K,소재
화인베스틸,133820,1.31K,3.15%,39.09B,39.62K,소재
동일제강,002690,1.84K,1.15%,36.95B,17.97K,소재
위스컴,024070,2.36K,2.39%,35.33B,13.01K,소재
영흥철강,012160,507.00,0.80%,32.44B,74.13K,소재
SUN&L,002820,2.52K,1.82%,29.80B,11.02K,소재
성문전자,014910,1.46K,2.38%,29.62B,78.00K,소재
성문전자우,014915,6.31K,3.61%,29.62B,227.00,소재
카프로,006380,732.00,0.00%,29.28B,0.00,소재
한국주강,025890,2.42K,0.83%,26.75B,32.88K,소재
한솔PNS,010420,1.24K,3.69%,24.47B,48.55K,소재
신풍제지,002870,845.00,-0.59%,23.55B,72.62K,소재
신화실업,001770,18.25K,-0.05%,22.18B,2.05K,소재
SK이노우,096775,76.00K,1.88%,9.78T,1.63K,소재
SK이노베이션,096770,106.20K,1.34%,9.78T,225.17K,에너지
S-Oil우,010955,48.35K,-0.62%,8.66T,8.94K,에너지
S-oil,010950,75.40K,0.13%,8.66T,234.58K,에너지
 SK우,03473K,127.90K,-0.47%,8.61T,1.23K,에너지
SK그룹,034730,156.80K,-0.13%,8.61T,112.88K,에너지
HD현대,267250,61.10K,0.00%,4.32T,352.17K,에너지
한화케미칼우,009835,20.60K,3.47%,4.13T,8.41K,에너지
한화솔루션,009830,25.50K,5.81%,4.13T,1.08M,에너지
씨에스윈드,112610,51.10K,0.39%,2.11T,287.09K,에너지
SK가스,018670,152.70K,-0.84%,1.38T,5.78K,에너지
두산퓨얼셀,336260,19.43K,8.06%,1.18T,334.54K,에너지
두산퓨얼셀1우,33626K,6.01K,5.25%,1.18T,151.28K,에너지
SK디스커버리우,006125,30.90K,1.98%,806.95B,2.26K,에너지
SK디스커버리,006120,42.65K,1.07%,806.95B,20.67K,에너지
E1,017940,65.10K,-0.31%,377.55B,6.78K,에너지
이아이디,093230,1.39K,0.00%,354.07B,0.00,에너지
한국쉘석유,002960,264.50K,0.38%,342.55B,3.10K,에너지
HD현대에너지솔루션,322000,23.95K,3.90%,258.16B,80.01K,에너지
경동가스,012320,69.40K,3.58%,146.08B,68.00K,에너지
대성산업,128820,3.76K,0.13%,140.66B,105.69K,에너지
극동유화,014530,3.93K,-2.24%,135.35B,688.23K,에너지
미창석유,003650,76.00K,1.47%,113.32B,2.73K,에너지
DS단석,017860,124.60K,2.55%,-,26.40K,에너지
한국전력,015760,20.40K,3.19%,12.69T,1.87M,에너지
GS,078930,42.30K,-0.12%,4.00T,191.66K,유틸리티
GS우,078935,36.70K,0.82%,4.00T,11.53K,유틸리티
한국가스공사,036460,25.45K,1.80%,2.15T,166.08K,유틸리티
SK Eternix,475150,22.30K,0.90%,564.88B,1.12M,유틸리티
지역난방공사,071320,39.30K,3.01%,441.73B,12.59K,유틸리티
SGC에너지,005090,22.35K,-0.22%,322.72B,13.01K,유틸리티
삼천리,004690,90.50K,1.00%,306.79B,3.87K,유틸리티
대성에너지,117580,8.80K,-3.08%,246.93B,478.16K,유틸리티
서울가스,017390,57.00K,0.71%,219.77B,3.91K,유틸리티
예스코,015360,38.40K,-0.13%,164.02B,1.97K,유틸리티
경동도시가스,267290,19.30K,0.36%,113.27B,9.20K,유틸리티
인천도시가스,034590,25.45K,0.39%,104.49B,289.00,유틸리티
한진중공업홀딩스,003480,3.33K,2.62%,84.79B,39.38K,유틸리티
KT&G,033780,89.80K,1.01%,10.03T,178.34K,유틸리티
아모레퍼시픽우,090435,40.65K,4.23%,8.71T,40.13K,필수소비재
아모레퍼시픽,090430,146.50K,3.10%,8.71T,317.60K,필수소비재
LG생활건강우,051905,172.60K,-0.52%,6.02T,7.63K,필수소비재
LG생활건강,051900,381.50K,-1.17%,6.02T,115.11K,필수소비재
CJ제일우,097955,142.50K,1.71%,5.00T,1.79K,필수소비재
CJ제일제당,097950,332.00K,1.37%,5.00T,43.01K,필수소비재
오리온,271560,91.20K,0.11%,3.60T,322.48K,필수소비재
CJ우,001045,58.00K,1.93%,3.57T,819.00,필수소비재
CJ4우,00104K,82.50K,5.50%,3.57T,18.24K,필수소비재
CJ 그룹,001040,120.00K,4.44%,3.57T,163.60K,필수소비재
아모레G우,002795,10.70K,1.52%,2.39T,13.30K,필수소비재
아모레G,002790,30.45K,3.22%,2.39T,310.15K,필수소비재
농심,004370,380.00K,0.13%,2.19T,16.74K,필수소비재
두산2우B,000157,72.30K,-0.69%,2.11T,2.24K,필수소비재
두산우,000155,66.50K,1.68%,2.11T,3.05K,필수소비재
두산,000150,141.00K,1.15%,2.11T,182.07K,필수소비재
BGF리테일,282330,125.60K,3.37%,2.10T,146.45K,필수소비재
삼양식품,003230,268.50K,3.07%,1.94T,129.70K,필수소비재
GS리테일,007070,19.07K,2.53%,1.92T,151.91K,필수소비재
동서,026960,17.98K,3.21%,1.72T,171.35K,필수소비재
이마트,139480,61.20K,-0.81%,1.65T,115.32K,필수소비재
코스맥스,192820,135.30K,2.66%,1.50T,121.97K,필수소비재
하이트진로2우,000087,15.90K,0.32%,1.45T,492.00,필수소비재
하이트진로,000080,21.00K,0.96%,1.45T,58.18K,필수소비재
오뚜기,007310,392.50K,-0.38%,1.34T,1.96K,필수소비재
동원산업,006040,36.10K,1.40%,1.28T,35.21K,필수소비재
롯데칠성우,005305,67.20K,0.90%,1.21T,170.00,필수소비재
롯데칠성,005300,126.00K,0.96%,1.21T,9.57K,필수소비재
한국콜마,161890,50.50K,3.59%,1.15T,124.02K,필수소비재
효성,004800,56.30K,1.44%,1.10T,24.30K,필수소비재
롯데웰푸드,280360,124.00K,2.65%,1.07T,8.17K,필수소비재
오리온홀딩스,001800,13.81K,-0.07%,831.36B,31.74K,필수소비재
동원F&B,049770,38.20K,2.41%,719.73B,103.83K,필수소비재
대상우,001685,16.85K,6.31%,718.14B,64.47K,필수소비재
대상,001680,20.80K,3.48%,718.14B,164.00K,필수소비재
빙그레,005180,65.10K,0.93%,570.30B,162.40K,필수소비재
삼양홀딩스우,000075,53.80K,-1.28%,516.24B,407.00,필수소비재
삼양홀딩스,000070,67.30K,0.15%,516.24B,3.36K,필수소비재
애경산업,018250,20.20K,5.37%,492.70B,239.59K,필수소비재
쿠쿠홈시스,284740,21.90K,0.92%,486.57B,13.35K,필수소비재
삼양사우,145995,28.00K,0.72%,471.37B,271.00,필수소비재
삼양사,145990,48.55K,1.78%,471.37B,6.75K,필수소비재
SPC삼립,005610,57.30K,0.00%,464.43B,3.44K,필수소비재
풀무원홀딩스,017810,11.66K,-1.60%,435.73B,95.10K,필수소비재
Hyundai Green Food,453340,11.90K,0.85%,399.44B,35.63K,필수소비재
남양유업우,003925,401.50K,0.63%,395.48B,298.00,필수소비재
남양유업,003920,494.50K,2.17%,395.48B,1.09K,필수소비재
BGF,027410,3.60K,1.26%,340.72B,41.85K,필수소비재
대상홀딩스우,084695,18.80K,15.34%,325.23B,79.40K,필수소비재
대상홀딩스우,084695,18.80K,15.34%,325.23B,79.40K,필수소비재
HLB글로벌,003580,7.25K,0.28%,321.86B,264.76K,필수소비재
농심홀딩스,072710,63.80K,-0.93%,298.67B,3.87K,필수소비재
한국콜마홀딩스,024720,8.23K,3.78%,291.58B,107.93K,필수소비재
종근당,001630,61.30K,1.49%,287.54B,2.29K,필수소비재
대한제당,001790,3.04K,1.16%,269.54B,220.72K,필수소비재
대한제당우,001795,2.77K,0.36%,269.54B,13.53K,필수소비재
사조대림,003960,35.70K,4.39%,265.16B,13.65K,필수소비재
대한제분,001130,129.50K,0.47%,212.07B,965.00,필수소비재
잇츠한불,226320,11.93K,2.76%,204.53B,16.72K,필수소비재
교촌에프앤비,339770,8.01K,2.17%,195.86B,14.80K,필수소비재
하이트진로홀딩스,000140,8.94K,0.45%,195.66B,4.60K,필수소비재
하이트진로홀딩스우,000145,11.82K,1.03%,195.66B,18.00,필수소비재
