종목코드,시가총액,거래소,섹터
txrh,8162900000.0,NASDAQ,소비순환재
grfs,7948100000.0,NASDAQ,헬스케어
rgld,7946100000.0,NASDAQ,소재
midd,7888800000.0,NASDAQ,산업
ufpi,7760600000.0,NASDAQ,소재
jazz,7743700000.0,NASDAQ,헬스케어
nfe,7735800000.0,NASDAQ,유틸리티
cere,7643800000.0,NASDAQ,헬스케어
gntx,7618000000.0,NASDAQ,소비순환재
wing,7547300000.0,NASDAQ,소비순환재
xray,7540100000.0,NASDAQ,헬스케어
ntra,7526300000.0,NASDAQ,헬스케어
futu,7483500000.0,NASDAQ,기술
exel,7460300000.0,NASDAQ,헬스케어
lnw,7393800000.0,NASDAQ,소비순환재
lbtyk,7392573791.0,NASDAQ,기술
lbtyb,7392573791.0,NASDAQ,기술
rmbs,7337500000.0,NASDAQ,기술
asnd,7261800000.0,NASDAQ,헬스케어
ions,7258300000.0,NASDAQ,헬스케어
fsv,7234500000.0,NASDAQ,부동산
cccs,7231300000.0,NASDAQ,기술
bz,7228300000.0,NASDAQ,산업
qlys,7220300000.0,NASDAQ,기술
zi,7207100000.0,NASDAQ,기술
cflt,7204300000.0,NASDAQ,기술
cgnx,7185200000.0,NASDAQ,산업
achc,7170800000.0,NASDAQ,헬스케어
dsgx,7154200000.0,NASDAQ,기술
spsc,7113500000.0,NASDAQ,기술
apls,7093400000.0,NASDAQ,헬스케어
has,7085300000.0,NASDAQ,소비순환재
iep,7061700000.0,NASDAQ,에너지
wfrd,7055400000.0,NASDAQ,에너지
swav,7031000000.0,NASDAQ,헬스케어
bbio,7023000000.0,NASDAQ,헬스케어
lbtya,7022800000.0,NASDAQ,기술
wix,6992200000.0,NASDAQ,기술
lstr,6961000000.0,NASDAQ,산업
frsh,6936300000.0,NASDAQ,기술
itci,6892600000.0,NASDAQ,헬스케어
mksi,6879800000.0,NASDAQ,산업
altr,6871800000.0,NASDAQ,기술
chrd,6861700000.0,NASDAQ,에너지
pnfp,6696200000.0,NASDAQ,금융
cacc,6694600000.0,NASDAQ,금융
mat,6669000000.0,NASDAQ,소비순환재
lfus,6663000000.0,NASDAQ,기술
aur,6641500000.0,NASDAQ,기술
cbsh,6638200000.0,NASDAQ,금융
mtsi,6618800000.0,NASDAQ,기술
txg,6615000000.0,NASDAQ,헬스케어
agnc,6583500000.0,NASDAQ,부동산
cart,6576700000.0,NASDAQ,기술
ppc,6549600000.0,NASDAQ,필수소비재
cnxc,6540900000.0,NASDAQ,산업
glbe,6535200000.0,NASDAQ,기술
zion,6499300000.0,NASDAQ,금융
saic,6472400000.0,NASDAQ,기술
car,6420600000.0,NASDAQ,산업
ensg,6334500000.0,NASDAQ,헬스케어
fybr,6228300000.0,NASDAQ,기술
appf,6195400000.0,NASDAQ,기술
masi,6193500000.0,NASDAQ,헬스케어
hlne,6126800000.0,NASDAQ,금융
imvt,6094600000.0,NASDAQ,헬스케어
ozk,6058200000.0,NASDAQ,금융
novt,6030800000.0,NASDAQ,기술
sigi,6027300000.0,NASDAQ,금융
aaon,6001600000.0,NASDAQ,산업
pcvx,5975700000.0,NASDAQ,헬스케어
opch,5967500000.0,NASDAQ,헬스케어
bpop,5921700000.0,NASDAQ,금융
lyft,5890900000.0,NASDAQ,기술
algm,5826200000.0,NASDAQ,기술
nsit,5772300000.0,NASDAQ,기술
fivn,5720400000.0,NASDAQ,기술
chx,5690100000.0,NASDAQ,에너지
hqy,5688600000.0,NASDAQ,기술
wtfc,5679700000.0,NASDAQ,금융
stne,5665900000.0,NASDAQ,기술
crox,5657500000.0,NASDAQ,소비순환재
reyn,5636600000.0,NASDAQ,필수소비재
bokf,5624200000.0,NASDAQ,금융
bpmc,5607200000.0,NASDAQ,헬스케어
vnom,5581100000.0,NASDAQ,에너지
colb,5564800000.0,NASDAQ,금융
vly,5513400000.0,NASDAQ,금융
becn,5496000000.0,NASDAQ,소비순환재
dooo,5434600000.0,NASDAQ,소비순환재
cigi,5431900000.0,NASDAQ,부동산
tenb,5386000000.0,NASDAQ,기술
nxst,5318700000.0,NASDAQ,소비순환재
sedg,5317500000.0,NASDAQ,에너지
brze,5304600000.0,NASDAQ,기술
drs,5257900000.0,NASDAQ,산업
mara,5229500000.0,NASDAQ,기술
mmyt,5212900000.0,NASDAQ,소비순환재
acad,5140500000.0,NASDAQ,헬스케어
dlo,5119700000.0,NASDAQ,산업
irdm,5097700000.0,NASDAQ,기술
ipgp,5093000000.0,NASDAQ,기술
exls,5087900000.0,NASDAQ,산업
ubsi,5066700000.0,NASDAQ,금융
bili,5038200000.0,NASDAQ,기술
crsp,4972500000.0,NASDAQ,헬스케어
cwst,4955200000.0,NASDAQ,산업
onb,4942400000.0,NASDAQ,금융
vrns,4933400000.0,NASDAQ,기술
qdel,4924500000.0,NASDAQ,헬스케어
aso,4894000000.0,NASDAQ,소비순환재
fcfs,4889200000.0,NASDAQ,금융
sfm,4886100000.0,NASDAQ,필수소비재
halo,4882300000.0,NASDAQ,헬스케어
psny,4825000000.0,NASDAQ,소비순환재
colm,4812800000.0,NASDAQ,소비순환재
frhc,4808500000.0,NASDAQ,금융
bcpc,4795900000.0,NASDAQ,소재
shc,4762200000.0,NASDAQ,헬스케어
esgr,4721200000.0,NASDAQ,금융
eeft,4680900000.0,NASDAQ,산업
iq,4679200000.0,NASDAQ,기술
olli,4674200000.0,NASDAQ,소비순환재
blkb,4669000000.0,NASDAQ,기술
powi,4668600000.0,NASDAQ,기술
ftai,4651000000.0,NASDAQ,금융
fizz,4643500000.0,NASDAQ,필수소비재
hcp,4630200000.0,NASDAQ,기술
alks,4629300000.0,NASDAQ,헬스케어
act,4613800000.0,NASDAQ,금융
nuvl,4608900000.0,NASDAQ,헬스케어
ipar,4605600000.0,NASDAQ,필수소비재
srcl,4585500000.0,NASDAQ,산업
lanc,4578600000.0,NASDAQ,필수소비재
mdgl,4568100000.0,NASDAQ,헬스케어
avt,4560500000.0,NASDAQ,기술
pten,4506700000.0,NASDAQ,에너지
azta,4504300000.0,NASDAQ,헬스케어
iac,4496900000.0,NASDAQ,기술
crus,4483700000.0,NASDAQ,기술
syna,4471900000.0,NASDAQ,기술
fele,4458300000.0,NASDAQ,산업
expo,4456800000.0,NASDAQ,산업
insm,4433500000.0,NASDAQ,헬스케어
rcm,4432100000.0,NASDAQ,헬스케어
mmsi,4386700000.0,NASDAQ,헬스케어
peco,4363000000.0,NASDAQ,부동산
neog,4350000000.0,NASDAQ,헬스케어
slm,4326300000.0,NASDAQ,금융
ffin,4324100000.0,NASDAQ,금융
sym,4297300000.0,NASDAQ,산업
coop,4288800000.0,NASDAQ,금융
run,4277000000.0,NASDAQ,에너지
acls,4247000000.0,NASDAQ,기술
lnth,4246300000.0,NASDAQ,헬스케어
flnc,4242800000.0,NASDAQ,산업
crvl,4228700000.0,NASDAQ,헬스케어
slab,4203500000.0,NASDAQ,기술
hwc,4186100000.000001,NASDAQ,금융
frpt,4185500000.0,NASDAQ,필수소비재
fold,4161200000.0,NASDAQ,헬스케어
evo,4156800000.0,NASDAQ,헬스케어
verx,4121500000.0,NASDAQ,기술
tfsl,4118500000.0,NASDAQ,금융
rushb,4085818700.0,NASDAQ,소비순환재
omab,4085200000.0,NASDAQ,산업
pega,4082500000.0,NASDAQ,기술
aeis,4060600000.0,NASDAQ,산업
gt,4060400000.0,NASDAQ,소비순환재
umbf,4054700000.0,NASDAQ,금융
sgry,4046500000.0,NASDAQ,헬스케어
wen,4017900000.0,NASDAQ,소비순환재
rusha,3998400000.0,NASDAQ,소비순환재
nvmi,3966400000.0,NASDAQ,기술
lope,3962600000.0,NASDAQ,아카데믹 및 교육 서비스
penn,3948800000.0,NASDAQ,소비순환재
smpl,3944300000.0,NASDAQ,필수소비재
rare,3926700000.0,NASDAQ,헬스케어
pch,3896800000.0,NASDAQ,부동산
mlco,3873100000.0,NASDAQ,소비순환재
pycr,3834100000.0,NASDAQ,기술
vrrm,3830200000.0,NASDAQ,산업
bl,3825700000.0,NASDAQ,기술
ncno,3804700000.0,NASDAQ,기술
mltx,3771100000.0,NASDAQ,헬스케어
axsm,3766200000.0,NASDAQ,헬스케어
nari,3738800000.0,NASDAQ,헬스케어
diod,3698900000.0,NASDAQ,기술
ccoi,3698300000.0,NASDAQ,기술
abcb,3663200000.0,NASDAQ,금융
nvei,3653600000.0,NASDAQ,산업
mq,3642500000.0,NASDAQ,기술
frog,3630100000.0,NASDAQ,기술
rely,3595800000.0,NASDAQ,산업
nwl,3595300000.0,NASDAQ,소비순환재
bgc,3582900000.0,NASDAQ,금융
pgny,3563200000.0,NASDAQ,헬스케어
avav,3546100000.0,NASDAQ,산업
ottr,3544100000.0,NASDAQ,유틸리티
step,3513500000.0,NASDAQ,금융
lite,3512100000.0,NASDAQ,기술
rpd,3508600000.0,NASDAQ,기술
krys,3499300000.0,NASDAQ,헬스케어
cvlt,3496800000.0,NASDAQ,기술
ucbi,3481400000.0,NASDAQ,금융
vsat,3480000000.0,NASDAQ,기술
upst,3475400000.0,NASDAQ,금융
vc,3473600000.0,NASDAQ,소비순환재
sgml,3449100000.0,NASDAQ,소재
spt,3440300000.0,NASDAQ,기술
itri,3435200000.0,NASDAQ,기술
iart,3404600000.0,NASDAQ,헬스케어
bhf,3397700000.0,NASDAQ,금융
imcr,3377600000.0,NASDAQ,헬스케어
iboc,3371000000.0,NASDAQ,금융
wire,3369800000.0,NASDAQ,산업
tsem,3366400000.0,NASDAQ,기술
ibrx,3351900000.0,NASDAQ,헬스케어
